eid,first_name,last_name,dob,dept,country,fullname,salary,Zone_code,PinCode
1,John,Doe,1990-01-01,Engineering,USA,John Doe,1000,901,1000901
2,Jane,Smith,1985-02-14,Marketing,UK,Jane Smith,2000,902,2000902
3,Peter,Parker,1992-05-10,Sales,Canada,Peter Parker,3000,903,3000903
4,Bruce,Wayne,1988-03-18,Security,USA,Bruce Wayne,4000,904,4000904
5,Clark,Kent,1991-07-11,Journalism,USA,Clark Kent,5000,905,5000905
6,Diana,Prince,1984-11-20,PR,Greece,Diana Prince,6000,906,6000906
7,Tony,Stark,1975-05-29,Engineering,USA,Tony Stark,7000,907,7000907
8,Steve,Rogers,1920-07-04,Defense,USA,Steve Rogers,8000,908,8000908
9,Natasha,Romanoff,1989-11-22,Operations,Russia,Natasha Romanoff,9000,909,9000909
10,Wanda,Maximoff,1993-08-15,Research,Sokovia,Wanda Maximoff,10000,910,10000910
